id;user_id;title;description;industry;input_mode;status;overall_score;created_at;updated_at
e9456c49-2127-47ec-bc8b-fb7b59870da3;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;An app to generate Study plan for students;An app to generate Study plan for students;;description;Pending;0;2026-07-29 17:09:27.702064+00;2026-07-29 17:09:27.702064+00
c0068bb8-d3e7-433a-b5cb-4e6a54f63400;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;An app to generate Study plan for students;An app to generate Study plan for students;;description;Pending;0;2026-07-29 17:11:43.055449+00;2026-07-29 17:11:43.055449+00
dbbe085d-474f-4de3-af94-01e5be0aa53b;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;An app to generate Study plan for students;An app to generate Study plan for students;;description;Pending;0;2026-07-29 17:14:17.417557+00;2026-07-29 17:14:17.417557+00
d9c79ae4-b903-4f0d-8938-9af4127bb673;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;An app to generate Study plan for students;An app to generate Study plan for students;;description;Pending;0;2026-07-29 17:20:07.542634+00;2026-07-29 17:20:07.542634+00
a610c557-1145-4d6b-ba84-9a85b9ab0638;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;An app to generate Study plan for students;An app to generate Study plan for students;;description;Pending;0;2026-07-29 17:21:12.937092+00;2026-07-29 17:21:12.937092+00
8159ef53-e13f-428d-baff-25e7d1da1bf0;651ce83c-c112-48b0-adb1-f273a478b269;An AI-powered app to demonstrate;An AI-powered app to demonstrate;;description;Pending;0;2026-07-30 11:25:16.882882+00;2026-07-30 11:25:16.882882+00
34f0db97-ea3d-4a2f-a317-72e015fbb06c;651ce83c-c112-48b0-adb1-f273a478b269;An AI-powered career assistant that helps job seekers optimize their resumes for;An AI-powered career assistant that helps job seekers optimize their resumes for a specific job opening. By analyzing both the candidate's resume and the job description, the application provides a compatibility score, personalized improvement suggestions, and a tailored cover letter to maximize the chances of getting shortlisted.;;description;Pending;0;2026-07-30 11:40:02.101965+00;2026-07-30 11:40:02.101965+00
4251f24c-499d-4abb-a0d5-b3b2787e882c;651ce83c-c112-48b0-adb1-f273a478b269;An AI-powered career assistant that helps job seekers optimize their resumes for;An AI-powered career assistant that helps job seekers optimize their resumes for a specific job opening. By analyzing both the candidate's resume and the job description, the application provides a compatibility score, personalized improvement suggestions, and a tailored cover letter to maximize the chances of getting shortlisted.;;description;Pending;0;2026-07-30 11:41:53.619592+00;2026-07-30 11:41:53.619592+00
e93287b6-71c8-4196-8a69-6d126b2227e4;651ce83c-c112-48b0-adb1-f273a478b269;An AI-powered career assistant that helps job seekers optimize their resumes for;An AI-powered career assistant that helps job seekers optimize their resumes for a specific job opening. By analyzing both the candidate's resume and the job description, the application provides a compatibility score, personalized improvement suggestions, and a tailored cover letter to maximize the chances of getting shortlisted.;;description;Pending;0;2026-07-30 11:42:13.973069+00;2026-07-30 11:42:13.973069+00
7e7cab7e-6527-4712-a4a1-4b8871b8f9a1;651ce83c-c112-48b0-adb1-f273a478b269;An AI-powered career assistant that helps job seekers optimize their resumes for;An AI-powered career assistant that helps job seekers optimize their resumes for a specific job opening. By analyzing both the candidate's resume and the job description, the application provides a compatibility score, personalized improvement suggestions, and a tailored cover letter to maximize the chances of getting shortlisted.;;description;Pending;0;2026-07-30 11:44:10.351692+00;2026-07-30 11:44:10.351692+00
5987fadb-8c24-45ca-b46f-e4a4e69ab50e;651ce83c-c112-48b0-adb1-f273a478b269;An AI-powered career assistant that helps job seekers optimize their resumes for;An AI-powered career assistant that helps job seekers optimize their resumes for a specific job opening. By analyzing both the candidate's resume and the job description, the application provides a compatibility score, personalized improvement suggestions, and a tailored cover letter to maximize the chances of getting shortlisted.;;description;Pending;0;2026-07-30 11:48:39.765755+00;2026-07-30 11:48:39.765755+00
016447ba-13c9-44fd-afbf-1806e9868ac2;651ce83c-c112-48b0-adb1-f273a478b269;https://www.pepper.inc/;https://www.pepper.inc/;;description;Pending;0;2026-07-30 13:33:27.870628+00;2026-07-30 13:33:27.870628+00
da9ca09d-4e86-4fa6-946d-42cabd474e55;651ce83c-c112-48b0-adb1-f273a478b269;An AI-powered career assistant that helps job seekers optimize their resumes for;An AI-powered career assistant that helps job seekers optimize their resumes for a specific job opening. By analyzing both the candidate's resume and the job description, the application provides a compatibility score, personalized improvement suggestions, and a tailored cover letter to maximize the chances of getting shortlisted.;;description;Pending;0;2026-07-30 13:36:21.84107+00;2026-07-30 13:36:21.84107+00
84baede4-7eb4-4fe7-a319-5b7705d416dc;651ce83c-c112-48b0-adb1-f273a478b269;An AI-powered career assistant that helps job seekers optimize their resumes for;An AI-powered career assistant that helps job seekers optimize their resumes for a specific job opening. By analyzing both the candidate's resume and the job description, the application provides a compatibility score, personalized improvement suggestions, and a tailored cover letter to maximize the chances of getting shortlisted.;;description;Pending;0;2026-07-30 13:42:23.928099+00;2026-07-30 13:42:23.928099+00
7a2efd33-57b3-4ff7-a03b-d8be99e7dfa8;651ce83c-c112-48b0-adb1-f273a478b269;new_idea.txt;new_idea.txt;;description;Pending;0;2026-07-30 15:55:28.919844+00;2026-07-30 15:55:28.919844+00
de386ec1-c066-433c-b882-036de29dbfcd;651ce83c-c112-48b0-adb1-f273a478b269;One app that plans your day, reminds you to eat, move, rest, and prioritise task;One app that plans your day, reminds you to eat, move, rest, and prioritise tasks based on your energy, not just deadlines.;;description;Pending;0;2026-07-30 17:41:44.811591+00;2026-07-30 17:41:44.811591+00
